country,est_annual_import_value_usd,import_duty_pct_text,local_competition,competition_basis,value_source,duty_source
Hungary,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Modest domestic industry,"Floor only: $47m from China alone, 2025",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Austria,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Modest domestic industry (Riess is metal cookware),No figure found — verify on Trade Map,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Romania,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Modest domestic industry; fast-growing demand,No value found; household-plastics imports grew 18% in 2024 (GTAIC),EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Ireland,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,L,Little or no domestic manufacturing — imports dominate,Floor only: $40m from China alone; +33% growth in 2024,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Denmark,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,"No major domestic maker — competition is importer/wholesaler brands (Schou, F&H)",Volume only: 20-22k tonnes/yr; import value +13.7% in 2023,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Greece,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Palamidis and other domestic makers,No value found; imports +3% in 2024 (GTAIC),EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Portugal,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Some domestic industry; ceramics-strong,No value found; imports +3% in 2024 (GTAIC),EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Norway,,"0% — Norway levies no import duty on industrial goods, including plastics.",M,No major domestic maker; Nordic importer brands compete,"Volume only: 12.3k tonnes, 2024",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Finland,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,H,Orthex home market,No figure found — verify on Trade Map,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Slovakia,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Modest domestic industry,"Floor only: $22m from China alone, 2024",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Bulgaria,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Modest domestic industry,"No HS-level value; all plastics (ch.39) imports $2.26bn, 2023",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Croatia,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Modest domestic industry,No figure found — verify on Trade Map,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Lithuania,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,L,Little domestic manufacturing — imports dominate,No figure found — verify on Trade Map,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Estonia,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,L,Little domestic manufacturing,No figure found — verify on Trade Map,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Latvia,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,L,Little domestic manufacturing,"Floor only: $2.6m from China alone, 2025 — small market",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Slovenia,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,M,Some regional industry,No figure found — verify on Trade Map,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Malta,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,L,No domestic manufacturing,No data found (population 550k),EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Luxembourg,,6.5% MFN on HS 3923/3924 (EU common external tariff); about 3% under Nigeria's EU GSP once SACVIN is REX-registered — verify the exact line on TARIC.,L,No domestic manufacturing; supplied via Belgian/French/German wholesale,No data found (population 680k),EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Iceland,,0% on most industrial goods — confirm on the Iceland customs tariff.,L,No domestic manufacturing,No data found (population 400k),EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Andorra,,EU rates apply — Andorra is in a customs union with the EU for industrial goods.,L,Supplied via Spain and France,"Floor only: $2.7m from Spain alone, 2023",EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Monaco,,EU rates apply — Monaco is inside the French customs territory.,L,Serve via French distributors,Not separately reported — inside French trade statistics,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Liechtenstein,,0% — inside the Swiss customs union (industrial tariffs abolished 2024).,L,Serve via Swiss distributors,Not separately reported — inside Swiss trade statistics,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
San Marino,,EU rates apply — customs union with the EU/Italy.,L,Serve via Italian distributors,Not separately reported — inside Italian trade statistics,EU TARIC common external tariff + EU GSP scheme (checked 2026-09-11)
Serbia,,,M,Regional plastics industry present,HS 3923 verified at $239m (2023); HS 3924 country total not published,
Bosnia and Herzegovina,,,L,Little domestic manufacturing; Turkey-dominated supply,"Floor only: $7.7m from Turkey alone, 2024",
North Macedonia,,,L,Little domestic manufacturing,No data found,
Montenegro,,,L,Little domestic manufacturing,No data found,
Moldova,,,L,Little domestic manufacturing,No data found,
Ukraine,,,M,Some domestic industry; China supplies 43%,Verified subset: $41m for tableware (HS 392410) rolling 12 months to Jan 2026; full HS 3924 higher. War-time logistics and insurance must be assessed.,
Belarus,,,M,Regional/Russian supply chains,"No data (customs reporting restricted). SANCTIONS, payment and logistics review required before any engagement.",
Russia,,,M,Domestic industry plus China (59% of plastics supply),"No HS-level data; all plastics imports $7.51bn (2024, mirror data). SANCTIONS review required before any scoring or outreach.",
